,curr_iteration,loss,viol,best_loss,temp,accept,move_gen,move_type,move_target,move_dur,elapsed,retry
0,0,14.103626534448853,1,,3.0,,propose_translate_all,TranslateMove,,4.40597424400039,4.414395447121933,5
1,10,14.103626534448853,1,,0.45601074610751,,propose_translate_all,TranslateMove,,5.077541725942865,54.49102984415367,5
2,20,14.103626534448853,1,,0.06931526685517599,,propose_translate_all,TranslateMove,,4.998239303007722,104.414344974095,5
3,30,14.103626534448853,1,,0.010536168851756653,,propose_translate_all,TranslateMove,,4.997592474101111,154.41375643992797,5
4,40,14.103626534448853,1,,0.0016015354064014193,,propose_translate_all,TranslateMove,,5.000356399919838,204.4137462519575,5
